1947-48,13
1948-49,14
1949-50,25
1950-51,14
1951-52,19
1952-53,13
1953-54,35
1954-55,33
1955-56,38
1956-57,30
1957-58,19
1958-59,9
1959-60,15
1960-61,24
1961-62,36
1962-63,17
1963-64,18
1964-65,33
1965-66,39
1966-67,25
1967-68,80
1968-69,18
1969-70,14
1970-71,11
1971-72,21
1972-73,14
1973-74,31
1974-75,24
1975-76,26
1976-77,60
1977-78,53
1978-79,33
1979-80,31
1980-81,44
1981-82,51
1982-83,31
1983-84,24
1984-85,36
1985-86,42
1986-87,50
1987-88,57
1988-89,73
1989-90,65
1990-91,41
1991-92,47
1992-93,41
1993-94,54
1994-95,55
1995-96,58
1996-97,36
1997-98,31
1998-99,46
1999-2000,56
2000-01,34
2001-02,39
2002-03,49
2003-04,47
2004-05,45
2005-06,45
2006-07,37
2007-08,21
2008-09,21
2009-10,17
2010-11,10
2011-12,19
2012-13,30
2013-14,25
2014-15,41
2015-16,19
2016-17,11
