1947-48,1
1948-49,12
1949-50,21
1950-51,7
1951-52,10
1952-53,2
1953-54,11
1954-55,31
1955-56,25
1956-57,20
1957-58,13
1958-59,10
1959-60,19
1960-61,17
1961-62,22
1962-63,19
1963-64,38
1964-65,21
1965-66,26
1966-67,13
1967-68,40
1968-69,25
1969-70,18
1970-71,18
1971-72,23
1972-73,27
1973-74,31
1974-75,20
1975-76,29
1976-77,30
1977-78,51
1978-79,23
1979-80,62
1980-81,64
1981-82,57
1982-83,80
1983-84,45
1984-85,65
1985-86,66
1986-87,110
1987-88,92
1988-89,132
1989-90,89
1990-91,77
1991-92,80
1992-93,67
1993-94,75
1994-95,53
1995-96,42
1996-97,58
1997-98,40
1998-99,64
1999-2000,50
2000-01,57
2001-02,63
2002-03,77
2003-04,92
2004-05,57
2005-06,36
2006-07,44
2007-08,23
2008-09,25
2009-10,33
2010-11,46
2011-12,65
2012-13,60
2013-14,17
2014-15,45
2015-16,13
2016-17,19
