1947-48,13
1948-49,15
1949-50,11
1950-51,35
1951-52,40
1952-53,3
1953-54,42
1954-55,41
1955-56,46
1956-57,54
1957-58,19
1958-59,41
1959-60,34
1960-61,24
1961-62,48
1962-63,11
1963-64,40
1964-65,35
1965-66,25
1966-67,39
1967-68,26
1968-69,26
1969-70,14
1970-71,20
1971-72,21
1972-73,34
1973-74,46
1974-75,16
1975-76,21
1976-77,25
1977-78,31
1978-79,41
1979-80,53
1980-81,24
1981-82,28
1982-83,32
1983-84,45
1984-85,60
1985-86,47
1986-87,23
1987-88,21
1988-89,35
1989-90,21
1990-91,17
1991-92,28
1992-93,20
1993-94,19
1994-95,22
1995-96,35
1996-97,39
1997-98,20
1998-99,42
1999-2000,31
2000-01,34
2001-02,55
2002-03,59
2003-04,46
2004-05,56
2005-06,37
2006-07,29
2007-08,48
2008-09,29
2009-10,23
2010-11,14
2011-12,33
2012-13,18
2013-14,28
2014-15,30
2015-16,30
2016-17,25
