1947-48,13
1948-49,14
1949-50,25
1950-51,14
1951-52,18
1952-53,12
1953-54,35
1954-55,33
1955-56,38
1956-57,30
1957-58,19
1958-59,9
1959-60,15
1960-61,24
1961-62,36
1962-63,17
1963-64,18
1964-65,33
1965-66,35
1966-67,23
1967-68,80
1968-69,17
1969-70,14
1970-71,11
1971-72,19
1972-73,14
1973-74,31
1974-75,24
1975-76,25
1976-77,60
1977-78,50
1978-79,32
1979-80,31
1980-81,42
1981-82,50
1982-83,31
1983-84,24
1984-85,34
1985-86,39
1986-87,48
1987-88,57
1988-89,68
1989-90,61
1990-91,41
1991-92,47
1992-93,40
1993-94,53
1994-95,52
1995-96,52
1996-97,36
1997-98,28
1998-99,45
1999-2000,48
2000-01,34
2001-02,38
2002-03,48
2003-04,43
2004-05,36
2005-06,35
2006-07,27
2007-08,18
2008-09,15
2009-10,13
2010-11,7
2011-12,13
2012-13,17
2013-14,20
2014-15,25
2015-16,9
2016-17,7
