1947-48,0
1948-49,3
1949-50,2
1950-51,1
1951-52,0
1952-53,0
1953-54,0
1954-55,0
1955-56,0
1956-57,0
1957-58,0
1958-59,0
1959-60,0
1960-61,0
1961-62,0
1962-63,0
1963-64,1
1964-65,0
1965-66,0
1966-67,0
1967-68,3
1968-69,0
1969-70,2
1970-71,2
1971-72,1
1972-73,0
1973-74,0
1974-75,4
1975-76,0
1976-77,0
1977-78,2
1978-79,0
1979-80,0
1980-81,2
1981-82,5
1982-83,0
1983-84,0
1984-85,0
1985-86,1
1986-87,1
1987-88,0
1988-89,0
1989-90,0
1990-91,0
1991-92,0
1992-93,0
1993-94,1
1994-95,1
1995-96,1
1996-97,2
1997-98,4
1998-99,5
1999-2000,3
2000-01,2
2001-02,4
2002-03,3
2003-04,2
2004-05,6
2005-06,4
2006-07,2
2007-08,2
2008-09,0
2009-10,0
2010-11,0
2011-12,0
2012-13,0
2013-14,0
2014-15,0
2015-16,0
2016-17,0
